Content,EventTemplate
logNotificationVisibilityChanges runInThread over,logNotificationVisibilityChanges runInThread over
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true
enqueueNotificationInternal: n.getKey = 0|com.tencent.mobileqq|121|null|10111,enqueueNotificationInternal: n.getKey = <*>
"updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
"updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
"updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
visible is system.message.count gt 0,visible is <*> gt <*>
Pid:28601 MediaPlayer destructor,Pid:<*> MediaPlayer destructor
"cancelNotificationLocked called,tell the app,reason = 8","cancelNotificationLocked called,tell the app,reason = <*>"
"cancelNotificationLocked called,tell the app,reason = 8","cancelNotificationLocked called,tell the app,reason = <*>"
"Animating brightness: target=38, rate=200","Animating brightness: target=<*>, rate=<*>"
battery changed pluggedType: 0,battery changed pluggedType: <*>
battery changed pluggedType: 0,battery changed pluggedType: <*>
battery changed pluggedType: 0,battery changed pluggedType: <*>
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
android.util.AndroidRuntimeException: Must execute in UI,<*>: Must execute in UI
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>
HBM brightnessIn =38,HBM brightnessIn =<*>
HBM brightnessIn =38,HBM brightnessIn =<*>
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=0.0","updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>"
Process com.tencent.mobileqq:qzone (pid 12236) has died,Process <*>:qzone (pid <*>) has died
Process com.tencent.mobileqq:qzone (pid 12236) has died,Process <*>:qzone (pid <*>) has died
received broadcast android.intent.action.BATTERY_CHANGED,received broadcast <*>
addNotification key=0|com.tencent.mm|4097|null|10112,addNotification key=<*>|<*>|<*>|null|<*>
addNotification key=0|com.tencent.mm|4097|null|10112,addNotification key=<*>|<*>|<*>|null|<*>
"orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete, call stopFreezingDisplayLocked"
"orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete, call stopFreezingDisplayLocked"
"orientation change is complete, call stopFreezingDisplayLocked","orientation change is complete, call stopFreezingDisplayLocked"
updateChargingLocked: charging=false,updateChargingLocked: charging=false
Killing 23484:com.android.calendar/u0a13 (adj 906): empty for 1810s,Killing <*>:<*><*> (adj <*>): empty for <*>
"cleanUpApplicationRecordLocked, reset pid: 12236, euid: 0","cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>"
getLastAudibleStreamVolume  treamType: 0,getLastAudibleStreamVolume  treamType: <*>
getLastAudibleStreamVolume  treamType: 2,getLastAudibleStreamVolume  treamType: <*>
getLastAudibleStreamVolume  treamType: 8,getLastAudibleStreamVolume  treamType: <*>
disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >
disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >
getRunningAppProcesses: caller 10091 does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
getRunningAppProcesses: caller 10091 does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
cancelPeek: false,cancelPeek: false
cancelPeek: false,cancelPeek: false
setLightsOn(true),setLightsOn(true)
setLightsOn(true),setLightsOn(true)
"state.clipTopAmount:138, i:0","state.clipTopAmount:<*>, i:<*>"
"state.clipTopAmount:-1, i:0","state.clipTopAmount:<*>, i:<*>"
"state.clipTopAmount:-1, i:0","state.clipTopAmount:<*>, i:<*>"
onNotificationVisibilityChanged called,onNotificationVisibilityChanged called
onNotificationVisibilityChanged called,onNotificationVisibilityChanged called
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"
received broadcast android.intent.action.TIME_TICK,received broadcast <*>
received broadcast android.intent.action.TIME_TICK,received broadcast <*>
interceptKeyTq keycode=3 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false
interceptKeyTq keycode=3 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false
interceptKeyTq keycode=3 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false
"Application requested orientation 1, got rotation 0 which has compatible metrics","Application requested orientation <*>, got rotation <*> which has compatible metrics"
Bad activity token: android.os.BinderProxy@2bd79ce,Bad activity token: <*>@<*>
Bad activity token: android.os.BinderProxy@2bd79ce,Bad activity token: <*>@<*>
registerCallback not in UI.,registerCallback not in UI.
visible is system.ownerinfo.show,visible is <*>
isSimPinSecure mSimDatas is null or empty,isSimPinSecure mSimDatas is null or empty
Unable to start service Intent { act=com.tencent.android.tpush.action.keepalive cmp=com.qqgame.hlddz/com.tencent.android.tpush.service.XGPushService } U=0: not found,Unable to start service Intent { act=<*> cmp=<*>.<*> } U=<*>: not found
Unable to start service Intent { act=com.tencent.android.tpush.action.keepalive cmp=com.qqgame.hlddz/com.tencent.android.tpush.service.XGPushService } U=0: not found,Unable to start service Intent { act=<*> cmp=<*>.<*> } U=<*>: not found
"interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing: key <*> , result : <*>"
"flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false","flingToHeight: vel=<*>.<*>, expand=false, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false"
"flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false","flingToHeight: vel=<*>.<*>, expand=false, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false"
"flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false","flingToHeight: vel=<*>.<*>, expand=false, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false"
onTrackingStopped: true,onTrackingStopped: true
"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED","rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED"
"rotationForOrientationLw(orient=-1, last=0); user=0 USER_ROTATION_LOCKED","rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED"
"sending alarm Alarm{2741459 type 3 when 509267844 PendingIntent{f75f81e: PendingIntentRecord{e204f60 com.android.phone broadcastIntent}}},repeatInterval = 0,listenerTag =null","sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}},repeatInterval = <*>,listenerTag =null"
cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111,cancelNotificationLocked:<*>|<*>|<*>|null|<*>
getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq,getAllCellInfo is blocked by permission manager . callingPackage = <*>
Marking notification as seen 0|com.tencent.mobileqq|121|null|10111,Marking notification as seen <*>|<*>|<*>|null|<*>
Marking notification as seen 0|com.tencent.mobileqq|121|null|10111,Marking notification as seen <*>|<*>|<*>|null|<*>
visible is system.charge.show,visible is <*>
visible is system.charge.show,visible is <*>
removeNotification:0|com.tencent.mobileqq|121|null|10111,removeNotification:<*>|<*>|<*>|null|<*>
*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,*** register callback for <*>@<*>
*** unregister callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,*** unregister callback for <*>@<*>
*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,*** register callback for <*>@<*>
"cancelNotification,index:-1","cancelNotification,index:<*>"
"cancelNotification,index:0","cancelNotification,index:<*>"
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide
"onTouchEvent::1, x=296.0, y=327.0","onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>"
mVisiblity.getValue is false,mVisiblity.getValue is false
mVisiblity.getValue is false,mVisiblity.getValue is false
"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false","flingToHeight: vel=<*>.<*>, expand=true, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false"
"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false","flingToHeight: vel=<*>.<*>, expand=true, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false"
"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false","flingToHeight: vel=<*>.<*>, expand=true, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false"
Scheduling restart of crashed service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService in 1000ms,Scheduling restart of crashed service <*>.<*> in <*>
updateDimmedActivatedHideSensitive overlap:true,updateDimmedActivatedHideSensitive overlap:true
updateDimmedActivatedHideSensitive overlap:true,updateDimmedActivatedHideSensitive overlap:true
enqueueNotificationInternal: pkg=com.tencent.mm id=4097 notification=Notification(pri=1 contentView=null vibrate=[] sound=null tick defaults=0x0 flags=0x101 color=0x00000000 category=msg vis=PRIVATE),enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> category=msg vis=PRIVATE)
enqueueNotificationInternal: pkg=com.tencent.mobileqq id=121 notification=Notification(pri=1 contentView=null vibrate=[100] sound=null tick defaults=0x0 flags=0x11 color=0x00000000 vis=PRIVATE),enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> vis=PRIVATE)
enqueueNotificationInternal: pkg=com.tencent.mm id=4097 notification=Notification(pri=1 contentView=null vibrate=[] sound=null tick defaults=0x0 flags=0x101 color=0x00000000 category=msg vis=PRIVATE),enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> category=msg vis=PRIVATE)
"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =123","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =140","cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>"
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".","Releasing suspend blocker ""PowerManagerService.WakeLocks""."
Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,Destroying surface Surface(name=<*>) called by <*>
"setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)","setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false","animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false"
"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false","animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false"
"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false","animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false"
"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false","animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false"
Received TIME_TICK alarm; rescheduling,Received TIME_TICK alarm; rescheduling
cleanUpApplicationRecord -- 13094,cleanUpApplicationRecord -- <*>
cleanUpApplicationRecord -- 5769,cleanUpApplicationRecord -- <*>
"notifyUiVisibilityChanged:vis=0x80000508, SystemUiVisibility=0x80000508","notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
logNotificationVisibilityChanges runInThread start,logNotificationVisibilityChanges runInThread start
HBM brightnessOut =38,HBM brightnessOut =<*>
getCellLocation is blocked by permission manager uid:10111 pid:28601,getCellLocation is blocked by permission manager uid:<*> pid:<*>
getCellLocation is blocked by permission manager uid:10111 pid:28601,getCellLocation is blocked by permission manager uid:<*> pid:<*>
getCellLocation is blocked by permission manager uid:10111 pid:28601,getCellLocation is blocked by permission manager uid:<*> pid:<*>
getCellLocation is blocked by permission manager uid:10111 pid:28601,getCellLocation is blocked by permission manager uid:<*> pid:<*>
"getRecentTasks: num=20,flags=62,totalTasks=46","getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>"
"getRecentTasks: num=10,flags=62,totalTasks=46","getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>"
startAnimation begin,startAnimation begin
"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=0, mPlugType=0, mBatteryLevel=23","updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>"
"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=0, mPlugType=0, mBatteryLevel=23","updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>"
"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=0, mPlugType=0, mBatteryLevel=23","updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>"
getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor},getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>}
"userActivityNoUpdateLocked: eventTime=261950787, event=1, flags=0x0, uid=1000","userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>"
"cancelNotification,cancelNotificationLocked,callingUid = 10037,callingPid = 2227","cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>"
"cancelNotification,cancelNotificationLocked,callingUid = 10037,callingPid = 2227","cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>"
"cancelNotification,cancelNotificationLocked,callingUid = 10037,callingPid = 2227","cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>"
remove(PendingIntent{e4e2534: PendingIntentRecord{e204f60 com.android.phone broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
startAnimation end,startAnimation end
addNotification key=0|com.tencent.mobileqq|121|null|10111,addNotification key=<*>|<*>|<*>|null|<*>
scheduleTimeTickEvent triggerAtTime = 509262332,scheduleTimeTickEvent triggerAtTime = <*>
Start proc 13003:com.tencent.mobileqq:qzone/u0a111 for service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService,Start proc <*>:<*>:qzone<*> for service <*>.<*>
Start proc 13003:com.tencent.mobileqq:qzone/u0a111 for service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService,Start proc <*>:<*>:qzone<*> for service <*>.<*>
getNeighboringCellInfo calling app is com.amap.android.ams,getNeighboringCellInfo calling app is <*>
ACTION_BATTERY_CHANGED AMP: 0; Volt: 0,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>
onNotificationClick called,onNotificationClick called
visible is system.call.count gt 0,visible is <*> gt <*>
"cleanUpApplicationRecordLocked, pid: 5784, restart: false","cleanUpApplicationRecordLocked, pid: <*>, restart: false"
"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=true","animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=true"
"acquire lock=120758482, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>"
"START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.tencent.mobileqq/.activity.SplashActivity bnds=[360,820][536,1011]} from uid 10057 on display 0",START u0 {act=<*> cat=[<*>] flg=<*> cmp=<*> bnds=<*>} from uid <*> on display <*>
updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:false
