LineId,Content,EventId,EventTemplate
36,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
37,session closed for user root,E117,session closed for user root
38,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
39,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
40,"data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_C5] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
43,session closed for user root,E117,session closed for user root
44,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
45,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
46,"synchronized to 10.100.20.250, stratum 3,synchronized to 10.100.28.250, stratum 3,synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
49,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
50,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
51,"data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_C8] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
54,"synchronized to 10.100.18.250, stratum 3,synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
56,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
57,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
58,data_thread() got not answer from any [Thunderbird_B3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
59,"synchronized to 10.100.18.250, stratum 3,synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
61,data_thread() got not answer from any [Thunderbird_D5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
62,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
63,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
64,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
65,"data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_B1] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
68,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
69,"data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_A5] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
71,"synchronized to 10.100.22.250, stratum 3,synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
73,data_thread() got not answer from any [Thunderbird_A6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
74,Local disconnected: Connection closed.,E67,Local disconnected: Connection closed.
75,connection lost: 'Connection closed.',E30,connection lost: 'Connection closed.'
76,"synchronized to 10.100.20.250, stratum 3,synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
78,"data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_A7] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
84,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
85,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
86,"data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_C6] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
91,"synchronized to 10.100.26.250, stratum 3,synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
93,data_thread() got not answer from any [Thunderbird_D8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
94,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
95,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
96,unable to qualify my own domain name (eadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
97,session closed for user root,E117,session closed for user root
98,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
99,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
100,data_thread() got not answer from any [Thunderbird_A2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
101,"unable to qualify my own domain name (badmin1) -- using short name,unable to qualify my own domain name (cadmin1) -- using short name",E131,"unable to qualify my own domain name (<*>) -- using short name,unable to qualify my own domain name (<*>) -- using short name"
103,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
104,unable to qualify my own domain name (dadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
105,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
106,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
107,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
108,session closed for user root,E117,session closed for user root
109,"jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
110,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
111,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
112,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
113,session closed for user root,E117,session closed for user root
114,"jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
115,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
116,session closed for user root,E117,session closed for user root
117,"jA9J1WFE024258: from=root, size=1597080, class=0, nrcpts=1, msgid=<200511091901.jA9J1WFE024258@dadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
118,"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1627080, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
119,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
120,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
121,"data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_D5] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
124,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
125,unable to qualify my own domain name (aadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
126,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
127,session closed for user root,E117,session closed for user root
128,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,E36,DHCPDISCOVER from <*> via eth1
129,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E38,DHCPOFFER on <*> to <*> via eth1
130,"jA9J1dQ7016560: from=root, size=1595423, class=0, nrcpts=1, msgid=<200511091901.jA9J1dQ7016560@aadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
131,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
132,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
135,data_thread() got not answer from any [Thunderbird_B3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
136,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
137,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
138,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
139,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E35,DHCPACK on <*> to <*> via eth1
140,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,E39,DHCPREQUEST for <*> (<*>) from <*> via eth1
141,START: tftp pid=16563 from=10.100.4.251,E119,START: tftp pid=<*> from=<*>
142,"DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.",E40,"DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>."
145,"synchronized to 10.100.30.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
146,data_thread() got not answer from any [Thunderbird_C2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
147,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
148,"data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_C4] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
151,"synchronized to 10.100.30.250, stratum 3,synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
153,"data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_C1] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
155,"synchronized to 10.100.20.250, stratum 3,synchronized to 10.100.18.250, stratum 3,synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
158,"data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_B6] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
162,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
163,data_thread() got not answer from any [Thunderbird_B2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
164,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
165,"data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_D8] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
168,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
169,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
170,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
171,"data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_D4] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
175,"synchronized to 10.100.22.250, stratum 3,synchronized to 10.100.18.250, stratum 3,synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
178,data_thread() got not answer from any [Thunderbird_C6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
179,"synchronized to 10.100.16.250, stratum 3,synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
181,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
182,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
183,"data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_C8] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
186,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
187,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
188,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E35,DHCPACK on <*> to <*> via eth1
189,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1",E36,"DHCPDISCOVER from <*> via eth1,DHCPDISCOVER from <*> via eth1"
191,"DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1",E38,"DHCPOFFER on <*> to <*> via eth1,DHCPOFFER on <*> to <*> via eth1"
193,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,E39,DHCPREQUEST for <*> (<*>) from <*> via eth1
194,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
196,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
197,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
199,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
200,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
202,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
203,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
204,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
205,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
206,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E35,DHCPACK on <*> to <*> via eth1
207,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1",E36,"DHCPDISCOVER from <*> via eth1,DHCPDISCOVER from <*> via eth1"
209,"DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1",E38,"DHCPOFFER on <*> to <*> via eth1,DHCPOFFER on <*> to <*> via eth1"
211,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,E39,DHCPREQUEST for <*> (<*>) from <*> via eth1
212,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
214,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
215,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
217,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
218,"DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases",E37,"DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases"
220,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
221,"synchronized to 10.100.20.250, stratum 3,synchronized to 10.100.30.250, stratum 3",E125,"synchronized to <*>, stratum <*>,synchronized to <*>, stratum <*>"
223,data_thread() got not answer from any [Thunderbird_D5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
224,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
225,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
226,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
227,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
228,"data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_B3] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
231,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
232,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
233,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
234,"data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_A3] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
237,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
238,"data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_D7] datasource",E32,"data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource"
241,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
242,data_thread() got not answer from any [Thunderbird_D6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
243,"synchronized to 10.100.30.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
